pfid	proto level	reconstruction	gloss	Merap	merap gloss	parent proto level	parent reconstruction	parent gloss
	pan	*qaSelu	pestle	lawʔ	rice pestle
	pan	*aNak	child	nayə̯ʔ	child
	pmp	*qapij	twins; double banana	kapayn͂	twins
	pan	*Sapuy	fire	pai̯	fire
	pmp	*a(n)duq	long, of objects	rau̯	long
	pan	*qaCay	liver	tae̯	liver
441	pan	*babuy	pig	maɓai̯	wild boar
	pmp	*beReqat	weight, heaviness, weightiness; difficult; pregnant	man	heavy
	pan	*baRiuS	typhoon	mayau̯	strong wind
	pmp	*beRsay	canoe paddle; paddle a canoe	mahae̯	paddle
	pan	*batux	stone; testicle	matawʔ	stone
1710	pan	*buqaya	crocodile	mayaːʔ	crocodile
	pmp	*baqbaq	mouth	ɓaː	mouth
909	pan	*bəli	buy, sell	mblayʔ	to buy
	pan	*bukeS	head hair	ɓawə̯ʔ	head hair
	pan	*bulaN	moon, month; menstruation	mblu͂ə̯͂	moon, month
1601	pan	*buluq	type of slender bamboo; Schizostachyum spp.	mbləw	bamboo
	pan	*buCa	mote in the eye; blind; blindness	tuə̯ʔ
	pan	*daRaq	blood; to bleed; menstruate	laː	blood
	pan	*dataR	flat, flat or level land	lataːh	flat land; plain
7201	pmp	*daqan	branch, bough	laʔa͂ə̯͂	branch
7748	pan	*dəpah	fathom	paʔ	fathom
6467	pmp	*diŋdiŋ	wall of a house; partition off	rintiə̯	wall
	pan	*Sepat	four	paːʔ	four
	pan	*gaCel	itch, feel itchy	katan	itchy
	pmp	*Rakit	lay long objects side by side; raft	kai̯c	raft
	pmp	*ibeR	saliva in the mouth; drool; desire, crave, lust for	ɓiə̯h	saliva
7663	pmp	*kiŋkiŋ	little finger, pinky	kiːə̯	pinky finger
	pmp	*iná-i	mother, mother's sister	nɛy	mother	pan	*ina	mother, mother's sister
	pan	*i-ni	this; here	nɛyʔ	this	pan	*-ni	proximal spatio-temporal deixis: this, here; now
2985	pan	*isi	flesh (of humans, animals, fruits, tubers); contents; blade of a knife; inhabitants, residents	hɛyn͂	flesh; meat
5325	pmp	*sisi	small snail or periwinkle	hɛy	snail
	pan	*zalan	path, made by a human as opposed to an animal; way or means to do something	n͂ala͂ə̯͂	path; road
	pan	*SadiRi	housepost	n͂ɛy	housepost
	pmp	*zauq	far	cau̯	far
	pwmp	*ŋazel	dull, blunt	kacan	dull, blunt
	pan	*kaS(e)pal	thick, of solid objects	kapa͂ə̯͂	thick
	pan	*ŋayaw	headhunting	kayao̯	headhunting
	pmp	*taRutuŋ	porcupine fish, puffer fish, Diodon sp.	tawə̯	porcupine
	pwmp	*kesiŋ	laugh	kihiə̯	laugh
	pan	*kulaC	bracket fungus, Polyporus spp.	kluə̯ʔ	mushroom
	pan	*k<um>aen	to eat	hmu͂ə̯͂	to eat	pan	*kaen	eat
	pan	*kuCux	head louse	kotowʔ	head louse
3334	pmp	*laki	male, masculine; man	lakayʔ	man
	pan	*laŋiC	sky	laŋayc	sky
	pwmp	*embaw	high, on top	mpao̯	tall
9152	pwmp	*lidəm	dark in color or from the absence of light	ntiə̯m	dark
7311	pan	*lubaŋ	burial pit	loɓoyə̯	hole
	pmp	*nunuk	a tree: the banyan or strangler fig	lunuːə̯ʔ	banyan tree
	pan	*ma-buSuk	drunk, intoxicated	maɓawə̯ʔ	drunk	pan	*buSuk	drunkenness, intoxication
6948	pan	*manuk	chicken	manawə̯ʔ	bird
	pmp	*ma-qesak	ripe; cooked; ready to eat	marau̯	to cook	pan	*qesak	ripe; cooked; ready to eat
	pan	*ma-aCay	die; dead; eclipse of sun or moon	matae̯	to die	pan	*aCay	death
	pan	*disdis	cut, slice	mɛrɛyh	to slice
11326	pwmp	*biqaŋ	to split	miʔiə̯	to split
4636	pan	*qudip	life, alive	ruyc	life
4640	pmp	*ma-qudip	living, alive; grow, flourish; fresh; heal, cure, revive, recover; vital principle, soul, spirit; flame	mpruyc	alive	pan	*qudip	life, alive
	pmp	*nipay	snake	piə̯ʔ	snake
	pmp	*lapis	stone slab, thin layer	lɛpɛyh	thin
	pan	*paNaw	go, walk away, depart	panao̯	to walk
	pan	*pajay	rice in the field; rice plant	parae̯	rice in the field
	pan	*paqiC	hotness of taste, spiciness; bitterness	paʔai̯	bitter
	pmp	*hapejes	smarting, stinging pain	prah	in pain
	pan	*piliq	to choose, to select; to pick out	mblɛy	to choose
	pmp	*pulut	birdlime, sticky sap of breadfruit, etc.	pləwkʷ	tree sap
6902	pan	*puluq	group of ten	pləw	ten
	pmp	*pusej	navel, umbilicus; mid-point or center of something	puhuə̯n	navel
	pwmp	*seput	blowpipe, blowgun	pawkʷ	blowpipe
7783	pan	*punti	banana	toyʔ	banana
	pmp	*putiq	white	tuy	white
	pmp	*puqun	base of a tree; cause; source, origin; beginning; foot of a hill or mountain; first wife; model or example (to be copied); expression for the mother’s brother	puʔʊu̯ŋʷ	base; bottom
	pan	*siap	chick	hɛaʔ	chicken
	pan	*sikux	elbow	kiwʔ	elbow
5353	pmp	*siŋehet	sting	hŋiə̯t	bee; to sting
	pan	*ijan	when?	bəhri͂ə̯͂	when
9214	pwmp	*silu	fingernail, toenail, claw	hlʊu̯ŋʷ	fingernail
	pan	*takut	fear	takawkʷ	afraid; fear
	pan	*Caqi	feces, excrement	taʔayʔ	excrement
2054	pan	*Cebus	sugarcane: Saccharum officinarum	təɓawʔ	sugarcane
	pan	*kezuC	to jerk suddenly, jump when startled	ʄat	surprised
	pwmp	*teŋkuk	nape of the neck	kəkawə̯ʔ	nape
	pmp	*tiduR	to sleep	tɛrɛwh	to sleep
	pan	*qaNiCu	ghost, spirit of the dead; owl	tawʔ	ghost
8820	pan	*tuzuq	to point at, point out; give directions	tosow	seven
	pmp	*tutuŋ	to ignite, set fire to	tutuə̯	to set on fire
	pan	*quzaN	rain	cu͂ə̯͂	rain
4656	pan	*qulej	type of small worm	luə̯n	worm; maggot
	pan	*udu	grass	rəwʔ	grass
	pan	*ujuŋ	nose	ruə̯	nose
	pan	*utaq	vomit	toa	vomit
2745	pmp	*hutek ‘brain’	brain; marrow	tuə̯k	brain
